date,time,predicted_class,confidence,scan_time
8/9/2024,15:51:14,Binunga,1,2.35
8/9/2024,15:53:46,Sintores,0.71,2.03
8/9/2024,15:54:04,Binunga,1,1.44
8/9/2024,15:54:04,Sintores,0.93,2.08
8/9/2024,15:56:09,Narra,1,9.48
8/9/2024,15:57:13,Native Talisay,0.99,48.59
8/9/2024,16:15:50,Balayong,1,2.25
8/9/2024,16:20:12,Lansones,1,1.61
8/9/2024,16:33:08,Sintores,0.93,7.24
8/9/2024,16:33:28,Native Talisay,0.99,25.42
8/9/2024,16:34:38,Kamagong,0.99,1.69
8/9/2024,16:35:40,Sintores,0.71,2.45
8/9/2024,16:36:05,Alibangbang,1,11.17
8/9/2024,16:42:55,Binunga,1,1.66
8/9/2024,16:44:49,Binunga,1,1.21
8/9/2024,16:45:20,Binunga,1,0.67
8/9/2024,16:45:40,Binunga,1,1.56
8/9/2024,16:46:15,Binunga,1,1.34
8/9/2024,16:46:35,Native Talisay,0.99,15.85
8/9/2024,16:46:50,Sintores,0.93,1.91
8/9/2024,16:48:18,Native Talisay,0.99,22.86
8/9/2024,16:50:25,Mangga,0.96,1.68
8/9/2024,16:51:18,Betis,1,1.83
8/9/2024,16:51:54,Binunga,1,1.56
8/9/2024,16:52:02,Ilang Ilang,0.99,2.06
8/9/2024,16:53:46,Binunga,1,1.46
8/9/2024,17:13:13,Mulawin,0.91,4.7
8/10/2024,10:23:45,Binunga,1,0.89
8/10/2024,10:24:52,Duhat,0.79,1.33
8/12/2024,14:28:01,Mangga,0.99,1.59
8/13/2024,19:45:42,Mahogany,0.94,6.37
8/22/2024,20:57:24,Dita,1,1.33
8/22/2024,21:14:51,Dita,1,1.24
8/22/2024,21:15:06,Dita,1,1.7
8/22/2024,21:18:18,Dita,1,1.5
8/22/2024,23:01:55,Dita,1,1.77
8/22/2024,23:05:25,Dita,1,1.85
8/22/2024,23:07:04,Dita,1,1.87
8/22/2024,23:07:35,Dita,1,1.27
8/22/2024,23:08:15,Dita,1,1.05
8/22/2024,23:08:21,Dita,1,1.81
8/22/2024,23:08:29,Dita,1,1.49
8/22/2024,23:08:35,Dita,1,1.72
8/22/2024,23:08:41,Dita,1,1.34
8/22/2024,23:08:45,Dita,1,1.02
8/22/2024,23:13:33,Dita,1,1.68
8/22/2024,23:33:11,Dita,1,1.56
8/23/2024,0:06:23,Dita,1,1.56
8/23/2024,0:40:26,Dita,1,1.89
8/23/2024,0:41:37,Dita,1,1.69
8/23/2024,0:46:38,Dita,1,1.82
8/23/2024,0:47:20,Dita,1,1.81
8/23/2024,0:50:44,Dita,1,1.01
8/23/2024,0:50:47,Dita,1,1.12
8/23/2024,0:50:49,Dita,1,1.56
8/23/2024,0:50:51,Dita,1,0.69
8/23/2024,0:50:52,Dita,1,0.9
8/23/2024,0:51:31,Dita,1,1.25
8/23/2024,0:51:37,Dita,1,1.07
8/23/2024,0:51:42,Dita,1,1.25
8/23/2024,0:51:47,Dita,1,2.04
8/23/2024,0:51:54,Dita,1,1.81
8/23/2024,0:52:00,Dita,1,1.75
8/23/2024,0:52:09,Dita,1,1.14
8/23/2024,0:52:46,Dita,1,1.01
8/23/2024,0:57:57,Dita,1,1.49
8/23/2024,0:58:11,Dita,1,1.66
8/23/2024,1:27:39,Dita,1,1.38
8/23/2024,1:28:43,Dita,1,1.7
8/23/2024,1:30:55,Dita,1,0.92
8/23/2024,1:33:34,Dita,1,1.05
8/23/2024,1:38:29,Dita,1,1.56
8/23/2024,1:38:42,Dita,1,1.7
8/23/2024,1:40:35,Dita,1,2.38
8/23/2024,1:41:00,Dita,1,1.68
8/23/2024,1:41:08,Dita,1,1.82
8/23/2024,1:41:24,Dita,1,1.28
8/23/2024,1:41:29,Dita,1,0.9
8/23/2024,1:41:36,Dita,1,1.84
8/23/2024,1:41:44,Dita,1,1.46
8/23/2024,1:41:52,Dita,1,1.57
8/23/2024,1:43:36,Dita,1,1.03
8/23/2024,1:44:34,Dita,1,1.37
8/23/2024,1:45:32,Dita,1,1.8
8/23/2024,1:45:51,Dita,1,1.36
8/23/2024,1:46:06,Dita,1,1.48
8/23/2024,1:46:14,Dita,1,1.34
8/23/2024,10:43:27,Dita,1,1.42
8/23/2024,10:43:33,Dita,1,0.97
8/23/2024,10:43:39,Dita,1,1.24
8/23/2024,10:44:31,Dita,1,0.98
8/23/2024,10:47:12,Dita,1,1.09
8/23/2024,10:51:04,Dita,1,2.15
8/23/2024,10:51:39,Dita,1,1.48
8/23/2024,10:59:27,Dita,1,0.93
8/23/2024,10:59:50,Dita,1,1.57
8/23/2024,10:59:54,Dita,1,0.8
8/23/2024,11:00:00,Dita,1,1.68
8/23/2024,11:04:24,Dita,1,1.46
8/23/2024,11:04:58,Dita,1,1.91
8/23/2024,11:05:15,Dita,1,1.25
8/23/2024,11:10:08,Dita,1,1.97
8/23/2024,11:17:16,Dita,1,0.92
8/23/2024,11:17:29,Dita,1,1.32
8/23/2024,11:20:38,Dita,1,1.05
8/23/2024,11:22:03,Dita,1,1.81
8/23/2024,11:23:18,Dita,1,1.16
8/23/2024,11:23:46,Dita,1,2
8/23/2024,11:24:04,Dita,1,0.79
8/23/2024,11:24:11,Dita,1,1.47
8/23/2024,11:39:34,Dita,1,1.59
8/23/2024,11:39:39,Dita,1,1.13
8/23/2024,11:39:43,Dita,1,1.33
8/23/2024,11:39:50,Dita,0.32,1.77
8/23/2024,11:40:04,Dita,0.32,1.93
8/23/2024,11:40:34,Dita,0.32,1.1
8/23/2024,11:43:31,Dita,0.32,1.37
8/23/2024,11:43:36,Dita,0.32,1.33
8/23/2024,11:43:43,Dita,0.32,1.01
8/23/2024,11:43:49,Dita,1,1.37
8/23/2024,11:43:59,Dita,1,1.27
8/23/2024,11:44:26,Dita,1,1.13
2024/08/24,14:04:34,Binunga,1.0,1.36
2024/08/24,14:04:48,Binunga,1.0,1.0
2024/08/24,14:06:35,Binunga,1.0,0.8
2024/08/24,14:07:00,Binunga,1.0,0.69
2024/08/24,14:07:17,Binunga,1.0,1.23
2024/08/24,14:07:51,Binunga,1.0,1.68
2024/08/24,14:10:59,Binunga,1.0,5.58
2024/08/24,14:11:15,Binunga,1.0,1.11
2024/08/24,14:11:36,Binunga,1.0,1.46
2024/08/24,14:11:54,Binunga,1.0,1.56
2024/08/24,14:12:04,Binunga,1.0,0.67
2024/08/24,14:12:14,Binunga,1.0,1.12
2024/08/24,14:12:19,Binunga,1.0,1.53
2024/08/24,14:13:11,Binunga,1.0,1.41
2024/08/24,14:13:23,Binunga,1.0,1.55
2024/08/24,15:25:33,Mahogany,0.58,4.47
2024/08/24,15:25:40,Ipil,0.7,11.2
2024/08/24,15:26:12,Guyabano,1.0,6.84
2024/08/24,15:26:23,Mahogany,0.94,18.64
2024/08/24,15:26:47,Mahogany,0.94,2.12
2024/08/24,15:27:17,Mahogany,0.94,1.38
2024/08/24,15:28:12,Ipil,1.0,2.39
2024/08/24,15:30:02,Ipil,1.0,1.84
2024/08/24,15:31:13,Ipil,1.0,1.43
2024/08/24,15:31:23,Dao,0.51,1.94
2024/08/24,15:31:31,Dao,0.51,1.72
2024/08/24,15:31:50,Kamagong,0.99,1.54
2024/08/24,15:31:51,Mahogany,0.99,31.36
2024/08/24,17:09:39,Binunga,1.0,3.08
2024/08/24,17:10:10,Ipil,0.7,1.36
2024/08/24,17:10:22,Ipil,0.7,1.88
2024/08/24,17:15:41,Binunga,1.0,2.76
2024/08/24,17:16:28,Binunga,1.0,1.43
2024/08/24,17:17:33,Binunga,1.0,1.2
2024/08/24,17:19:28,Binunga,1.0,1.4
2024/08/24,17:19:54,Binunga,1.0,1.74
2024/08/24,17:20:37,Binunga,1.0,1.52
2024/08/24,17:21:47,Binunga,1.0,0.78
2024/08/24,17:22:13,Binunga,1.0,1.13
2024/08/24,17:22:46,Binunga,1.0,1.66
